config         seeds      NLL      MAE  closRMS  JER@65  JERunc   pull min/run
uncorrected        -        -        -   0.0877  0.2298  0.2298      -       -
C-graph            3  -1.0855   0.1739   0.0687  0.1584  0.2298  1.000    39.2
C-graph-pre        3  -1.0858   0.1742   0.0616  0.1580  0.2298  1.013    25.3
C-graph-pre-probe     3  -1.0405   0.1793   0.0574  0.1566  0.2298  1.037    24.3
T                  3  -1.0577   0.1748   0.0298  0.1504  0.2298  1.010    22.3
TC-graph           3  -1.2406   0.1531   0.0442  0.1304  0.2298  1.012    58.9
TC-graph-f0.01     3  -0.9799   0.1848   0.0720  0.1559  0.2298  1.004     4.7
TC-graph-f0.1      3  -1.1178   0.1682   0.0506  0.1451  0.2298  0.999     7.1
TC-graph-pre       3  -1.2351   0.1538   0.0403  0.1311  0.2298  1.024    46.3
TC-graph-pre-f0.01     3  -0.9936   0.1815   0.0644  0.1536  0.2298  1.025     2.8
TC-graph-pre-f0.1     3  -1.1238   0.1669   0.0606  0.1424  0.2298  1.045     6.5
TJ                 3  -1.3641   0.1299   0.0454  0.1254  0.2298  1.028    24.5
TJC-graph          3  -1.4218   0.1241   0.0395  0.1150  0.2298  1.036    58.8
TJC-set            3  -1.4157   0.1247   0.0424  0.1162  0.2298  1.029    37.4
